Nikola Vučević,CHI,11.0,3.2,17.6,18.2,.533,1.8,
Andrew Wiggins,GSW,4.5,2.2,17.2,15.0,.560,1.4,
Bruce Brown,BRK,4.8,2.1,9.0,15.0,.575,1.2,
Mike Conley,UTA,3.0,5.3,13.7,17.2,.572,2.7,
Anthony Edwards,MIN,4.8,3.8,21.3,16.5,.560,2.0,
Daniel Gafford,WAS,5.7,0.9,9.4,21.8,.708,1.3,
John Konchar,MEM,4.6,1.5,4.8,14.0,.615,1.2,
Bobby Portis,MIL,9.1,1.2,14.6,17.7,.571,1.1,
Julius Randle,NYK,9.9,5.1,20.1,15.7,.509,1.6,
Mitchell Robinson,NYK,8.6,0.5,8.5,20.7,.722,2.0,
Alperen Şengün,HOU,5.5,2.6,9.6,16.0,.552,0.4,
Obi Toppin,NYK,3.7,1.1,9.0,18.3,.614,1.2,
Mo Bamba,ORL,8.1,1.2,10.6,16.5,.582,1.2,
Will Barton,DEN,4.8,3.9,14.7,13.4,.548,0.9,
Nemanja Bjelica,GSW,4.1,2.2,6.1,14.2,.573,1.0,
Robert Covington,TOT,5.5,1.3,8.5,12.4,.572,1.1,
Drew Eubanks,TOT,5.4,1.2,7.7,18.0,.638,0.2,
Montrezl Harrell,TOT,6.1,2.0,13.1,23.2,.680,2.4,
Cody Martin,CHO,4.0,2.5,7.7,12.7,.579,0.7,
Gary Payton II,GSW,3.5,0.9,7.1,17.8,.679,1.8,
Payton Pritchard,BOS,1.9,2.0,6.2,15.0,.578,1.0,
Marcus Smart,BOS,3.8,5.9,12.1,13.6,.540,1.5,
Isaiah Stewart,DET,8.7,1.2,8.3,14.0,.550,-0.6,
P.J. Tucker,MIA,5.5,2.1,7.6,11.3,.593,1.3,
Devin Vassell,SAS,4.3,1.9,12.3,13.3,.540,0.7,
RJ Barrett,NYK,5.8,3.0,20.0,13.7,.511,0.2,
Jaxson Hayes,NOP,4.5,0.6,9.3,18.5,.680,0.8,
Luke Kennard,LAC,3.3,2.1,11.9,13.3,.619,1.2,
Jonathan Kuminga,GSW,3.3,0.9,9.3,15.2,.600,0.1,
Jaden McDaniels,MIN,4.2,1.1,9.2,10.3,.553,-0.4,
Raul Neto,WAS,1.9,3.1,7.5,12.4,.538,-0.4,
Chuma Okeke,ORL,5.0,1.7,8.6,12.0,.501,0.8,
Gary Trent Jr.,TOR,2.7,2.0,18.3,14.7,.546,1.3,
Lonnie Walker IV,SAS,2.6,2.2,12.1,12.3,.512,-0.2,
Kyle Anderson,MEM,5.3,2.7,7.6,14.4,.506,1.2,
Carmelo Anthony,LAL,4.2,1.0,13.3,14.8,.579,0.7,
Darius Bazley,OKC,6.3,1.4,10.8,12.6,.515,0.1,
Bojan Bogdanović,UTA,4.3,1.7,18.1,15.7,.599,1.1,
Amir Coffey,LAC,2.9,1.8,9.0,13.0,.598,0.7,
Al Horford,BOS,7.7,3.4,10.2,16.7,.574,3.2,
Bones Hyland,DEN,2.7,2.8,10.1,14.4,.558,0.5,
Tre Jones,SAS,2.2,3.4,6.0,15.0,.545,0.4,
Evan Mobley,CLE,8.3,2.5,15.0,16.1,.549,1.5,
Taurean Prince,MIN,2.5,1.0,7.3,12.4,.589,0.3,
Landry Shamet,PHO,1.8,1.6,8.3,10.2,.550,0.3,
Devin Booker,PHO,5.0,4.8,26.8,21.3,.576,3.6,
Reggie Bullock,DAL,3.5,1.2,8.6,9.2,.558,0.3,
Joel Embiid,PHI,11.7,4.2,30.6,31.2,.616,6.5,
Darius Garland,CLE,3.3,8.6,21.7,19.0,.576,2.8,
Isaiah Hartenstein,LAC,4.9,2.4,8.3,22.0,.664,2.0,
Dejounte Murray,SAS,8.3,9.2,21.1,22.3,.533,4.4,
Jakob Poeltl,SAS,9.3,2.8,13.5,20.8,.613,1.7,
Pascal Siakam,TOR,8.5,5.3,22.8,20.3,.565,3.6,
Max Strus,MIA,3.0,1.4,10.6,12.7,.614,1.2,
Gabe Vincent,MIA,1.9,3.1,8.7,10.6,.551,0.2,
Christian Wood,HOU,10.1,2.3,17.9,19.1,.595,1.9,
Giannis Antetokounmpo,MIL,11.6,5.8,29.9,32.1,.633,7.4,
Oshae Brissett,IND,5.3,1.1,9.1,12.9,.530,-0.1,
Jae Crowder,PHO,5.3,1.9,9.4,11.3,.541,1.5,
Dewayne Dedmon,MIA,5.8,0.7,6.3,15.9,.632,0.3,
Spencer Dinwiddie,TOT,4.2,5.2,13.7,15.1,.543,1.2,
Jalen Green,HOU,3.4,2.6,17.3,12.5,.547,-0.5,
JaMychal Green,DEN,4.2,0.9,6.4,14.1,.587,0.0,
Josh Green,DAL,2.4,1.2,4.8,11.9,.578,0.3,
Jrue Holiday,MIL,4.5,6.8,18.3,19.8,.593,2.9,
Furkan Korkmaz,PHI,2.6,1.9,7.6,10.2,.502,-0.4,
Zach LaVine,CHI,4.6,4.5,24.4,20.0,.605,2.6,
Donovan Mitchell,UTA,4.2,5.3,25.9,21.6,.572,3.6,
Isaac Okoro,CLE,3.0,1.8,8.8,10.4,.589,0.1,
Austin Rivers,DEN,1.7,1.3,6.0,7.2,.546,-0.7,
Cam Thomas,BRK,2.4,1.2,8.5,11.7,.519,-0.4,
Grayson Allen,MIL,3.4,1.5,11.1,12.7,.609,1.1,
Jaylen Brown,BOS,6.1,3.5,23.6,18.9,.574,2.2,
Troy Brown Jr.,CHI,3.1,1.0,4.3,10.1,.525,0.1,
Jevon Carter,TOT,1.7,1.5,4.2,9.6,.531,-0.1,
Danilo Gallinari,ATL,4.7,1.5,11.7,14.3,.579,0.8,
Rudy Gobert,UTA,14.7,1.1,15.6,24.7,.732,3.6,
Killian Hayes,DET,3.2,4.2,6.9,9.3,.461,-0.6,
Tyler Herro,MIA,5.0,4.0,20.7,16.2,.561,1.5,
Cameron Johnson,PHO,4.1,1.5,12.5,15.2,.625,2.1,
Kyle Kuzma,WAS,8.5,3.5,17.1,15.2,.547,1.0,
Khris Middleton,MIL,5.4,5.4,20.1,18.1,.577,1.9,
Cedi Osman,CLE,2.2,2.0,10.7,13.3,.563,0.8,
Matisse Thybulle,PHI,2.3,1.1,5.7,11.2,.594,1.3,
Nickeil Alexander-Walker,TOT,2.9,2.4,10.6,10.5,.475,-0.3,
Cole Anthony,ORL,5.4,5.7,16.3,13.5,.519,0.4,
Facundo Campazzo,DEN,1.8,3.4,5.1,11.1,.503,0.4,
Pat Connaughton,MIL,4.2,1.3,9.9,13.4,.620,1.4,
Luka Dončić,DAL,9.1,8.7,28.4,25.1,.571,5.9,
Javonte Green,CHI,4.2,0.9,7.2,14.0,.637,0.8,
James Harden,TOT,7.7,10.3,22.0,20.9,.583,3.7,
Cory Joseph,DET,2.7,3.6,8.0,11.4,.579,0.0,
Garrison Mathews,HOU,2.9,1.0,10.0,11.0,.602,-0.1,
Chris Paul,PHO,4.4,10.8,14.7,20.8,.581,4.0,
Josh Richardson,TOT,2.8,1.8,10.2,12.8,.573,0.9,
D'Angelo Russell,MIN,3.3,7.1,18.1,16.3,.544,1.4,
Ish Smith,TOT,2.2,3.8,6.3,12.5,.465,-0.2,
Fred VanVleet,TOR,4.4,6.7,20.3,17.3,.552,3.5,
P.J. Washington,CHO,5.2,2.3,10.3,13.6,.588,0.9,
